tipo,marca,modelo,year,capacidad/cantidad
Carga,Ford,F-150,2022,1500
Carga,Chevrolet,Silverado,2021,1800
Carga,Toyota,Tundra,2020,1400
Carga,Nissan,Titan,2023,1700
Carga,RAM,1500,2022,1600
Carga,Mitsubishi,L200,2021,1300
Carga,Isuzu,D-Max,2020,1200
Carga,Hyundai,H100,2019,1100
Carga,Volkswagen,Amarok,2022,1550
Carga,Mazda,BT-50,2021,1450
Pasajero,Toyota,Hiace,2022,15
Pasajero,Mercedes-Benz,Sprinter,2021,20
Pasajero,Ford,Transit,2020,18
Pasajero,Chevrolet,N300,2023,12
Pasajero,Hyundai,H1,2022,14
Pasajero,Peugeot,Expert,2021,10
Pasajero,Renault,Master,2020,17
Pasajero,Citroën,Jumper,2019,16
Pasajero,Nissan,Urvan,2022,13
Pasajero,Volkswagen,Crafter,2021,19
